PAMPLONA;933;-367.940.283;-730.989.896;933;Pamplona;Hualpen;Hualpen;Concepcion;Concepcion;Región del Bío Bío;Región del Bío Bío;CL;Chile;910132;ROOFTOP
OHIGGINS;600;-387.431.357;-725.943.006;600;Bernardo O'Higgins;Temuco;Temuco;Cautín;Cautín;IX Región;IX Región;CL;Chile;10152517;RANGE_INTERPOLATED
ANTONIO VARAS;2038;-334.454.188;-706.115.656;2038;Antonio Varas;Providencia;Providencia;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;8788981;RANGE_INTERPOLATED
SANTA DELIA;242;-33.607.711;-708.866.869;242;Santa Delia;Penaflor;Penaflor;Talagante;Talagante;Región Metropolitana;Región Metropolitana;CL;Chile;10802762;RANGE_INTERPOLATED
LAGO PALENA;430;-398.382.945;-732.183.393;430;Lago Palena;Valdivia;Valdivia;Valdivia;Valdivia;Región de los Ríos;Región de los Ríos;CL;Chile;935519;RANGE_INTERPOLATED
CALLE UNO;1652;-368.264.507;-730.115.657;1652;Calle Uno;Concepción;Concepción;Concepcion;Concepcion;Región del Bío Bío;Región del Bío Bío;CL;Chile;936027;RANGE_INTERPOLATED
PASAJE DIESIOCHO;695;-368.374.461;-731.470.844;695;Pasaje Dieciocho;San Pedro de la Paz;San Pedro de la Paz;Concepcion;Concepcion;RM;RM;CL;Chile;10848831;ROOFTOP
SAN NICOL-S;1864;-33.495.402;-706.663.094;1864;San Nicolás;Pedro Aguirre Cerda;Pedro Aguirre Cerda;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;942519;ROOFTOP
AUGUSTO VILLANUEVA;269;-334.528.987;-705.880.491;269;Augusto Villanueva;Ñuñoa;Ñuñoa;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;9138491;RANGE_INTERPOLATED
AVDA LIBERTADOR BERNARDO OHIGGINS;4242;-334.547.148;-70.693.867;4242;Avenida Libertador Bernardo O'Higgins;Santiago;Santiago;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10971796;ROOFTOP
RODRIGUEZ;165;-328.328.536;-70.595.157;165;Manuel Rodríguez;Los Andes;Los Andes;Los Andes;Los Andes;Región de Valparaíso;Región de Valparaíso;CL;Chile;10739176;RANGE_INTERPOLATED
TRONCOS VIEJOS;1388;-330.616.378;-714.152.724;1388;Troncos Viejos;Quilpué;Quilpué;Marga Marga;Marga Marga;Región de Valparaíso;Región de Valparaíso;CL;Chile;9556235;RANGE_INTERPOLATED
SANTA MARTA;1105;-33.585.648;-706.906.589;1105;Santa Marta;San Bernardo;San Bernardo;Maipo;Maipo;Región Metropolitana;Región Metropolitana;CL;Chile;10849200;RANGE_INTERPOLATED
STA CATALINA DE ALEJANDRIA;1011;-387.758.341;-725.915.108;1011;Santa Catalina de Alejandría;Padre las Casas;Padre las Casas;Cautín;Cautín;IX Región;IX Región;CL;Chile;978216;ROOFTOP
AVDA  SOLD PEDRO PRADO;3697;-202.609.997;-701.276.567;3697;Avenida Salvador Allende Gossens;Iquique;Iquique;Iquique;Iquique;Región de Tarapacá;Región de Tarapacá;CL;Chile;994178;RANGE_INTERPOLATED
CALLE DIAZ;636;-330.455.598;-713.733.137;636;Díaz;Villa Alemana;Villa Alemana;Marga Marga;Marga Marga;Región de Valparaíso;Región de Valparaíso;CL;Chile;1011105;RANGE_INTERPOLATED
PASAJE BONDAD;587;-335.980.047;-705.692.652;587;Bondad;Puente Alto;Puente Alto;Cordillera;Cordillera;Región Metropolitana;Región Metropolitana;CL;Chile;10459419;ROOFTOP
LLIFEN;34;-4.019.073;-722.598.642;Cabañas Llifen;Futrono;Futrono;Futrono;Región de los Ríos;Región de los Ríos;CL;Chile;S/N;S/N;10029483;ROOFTOP
COLLIPULLI;111;-36.801.624;-730.819.751;111;Collipulli;Hualpen;Hualpen;Concepcion;Concepcion;Región del Bío Bío;Región del Bío Bío;CL;Chile;10165746;RANGE_INTERPOLATED
PSJE. LA UNIÓN;1484;-184.646.842;-702.878.717;1484;La Unión;Arica;Arica;Arica;Arica;Región de Arica y Parinacota;Región de Arica y Parinacota;CL;Chile;1050585;ROOFTOP
PEDRO DE VALDIVIA;3075;-387.094.647;-726.366.982;3075;Pedro de Valdivia;Temuco;Temuco;Cautín;Cautín;IX Región;IX Región;CL;Chile;10903780;RANGE_INTERPOLATED
PASAJE 2;39;-341.954.905;-708.882.176;39;Pasaje 2;Doñihue;Doñihue;VI Región;VI Región;CL;Chile;S/N;S/N;1073753;RANGE_INTERPOLATED
CORONEL TORO HERRERA;771;-330.244.768;-715.692.055;771;Toro Herrera;Viña;Viña del Mar;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;11025318;RANGE_INTERPOLATED
CARLOS IBANEZ DEL CAMPO;290;-37.464.795;-723.462.664;290;Carlos Ibáñez del Campo;Los Angeles;Los Angeles;Biobio;Biobio;Región del Bío Bío;Región del Bío Bío;CL;Chile;10613076;RANGE_INTERPOLATED
BARRIO LA CONCEPCION;25;-368.239.019;-72.990.843;25;Los Andes;Concepción;Concepción;Concepcion;Concepcion;Región del Bío Bío;Región del Bío Bío;CL;Chile;1082352;RANGE_INTERPOLATED
PASAJE ALIHUEL  SUR;278;-334.943.006;-707.752.856;278;Alihuen Sur;Maipú;Maipú;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;1090036;ROOFTOP
AVDA JOSE MIGUEL CARRERA;33;-339.848.388;-707.097.987;33;Calle Jose Miguel Carrera;Mostazal;Mostazal;VI Región;VI Región;CL;Chile;S/N;S/N;10668555;RANGE_INTERPOLATED
CALLE OCTAVA;379;-330.374.073;-716.400.848;379;Octava;Valparaíso;Valparaíso;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;10353412;RANGE_INTERPOLATED
JOSE IGNACIO ZENTENO;66;-335.039.539;-707.689.681;2400;Avda de la Victoria;Maipú;Maipú;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;1124956;ROOFTOP
AMERICA;571;-387.189.139;-726.171.057;571;Coyhaique;Temuco;Temuco;Cautín;Cautín;IX Región;IX Región;CL;Chile;1126710;RANGE_INTERPOLATED
CAMPO DE MARTE;675;-378.107.632;-727.025.872;675;Campo de Marte;Angol;Angol;Malleco;Malleco;IX Región;IX Región;CL;Chile;8778860;RANGE_INTERPOLATED
AVENIDA  SUR;12;-335.389.002;-706.338.989;12;Sur;La Granja;La Granja;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;1140987;RANGE_INTERPOLATED
IQUIQUE;614 B;-335.230.877;-716.046.577;614;Iquique;Cartagena;Cartagena;San Antonio;San Antonio;Región de Valparaíso;Región de Valparaíso;CL;Chile;1156713;RANGE_INTERPOLATED
CIRCUNVALACION;3201;-398.468.104;-732.152.842;3201;Circunvalación Sur;Valdivia;Valdivia;Valdivia;Valdivia;Región de los Ríos;Región de los Ríos;CL;Chile;1180068;ROOFTOP
TACNA;370;-330.514.997;-71.369.158;370;Tacna;Villa Alemana;Villa Alemana;Marga Marga;Marga Marga;Región de Valparaíso;Región de Valparaíso;CL;Chile;9309912;RANGE_INTERPOLATED
PASAJE LOS LIMONES BLOCK 37;11;-35.438.245;-716.809.749;37;Los Limones;Talca;Talca;Talca;Talca;VII Región;VII Región;CL;Chile;1202206;RANGE_INTERPOLATED
CONGUILLIO;3441;-335.782.163;-705.852.903;3441;Conguillio;Puente Alto;Puente Alto;Cordillera;Cordillera;Región Metropolitana;Región Metropolitana;CL;Chile;9421146;ROOFTOP
QUIZAPO;2964;-335.119.175;-705.719.099;2964;Volcán Quizapu;La Florida;La Florida;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10459444;RANGE_INTERPOLATED
LAS MADRESELVAS;1154;-334.355.152;-707.255.175;1154;Las Madreselvas;Cerro Navia;Cerro Navia;Región Metropolitana;Región Metropolitana;CL;Chile;S/N;S/N;10406152;ROOFTOP
PASAJE NADIR;8740;-334.466.798;-707.560.622;8740;Nadir;Pudahuel;Pudahuel;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10459453;RANGE_INTERPOLATED
RAFAEL  ALBERTI;33;-299.501.196;-712.723.221;33;Rafael Alberti;La Serena;La Serena;Elqui;Elqui;Región de Coquimbo;Región de Coquimbo;CL;Chile;10281144;RANGE_INTERPOLATED
BUSTAMANTE;2142;-366.082.439;-729.567.996;2142;L Bustamante;Tome;Tome;Concepcion;Concepcion;Región del Bío Bío;Región del Bío Bío;CL;Chile;11079594;RANGE_INTERPOLATED
FEDERICO ERRAZURIZ;1043;-334.380.142;-707.635.467;1043;Federico Errázuriz;Pudahuel;Pudahuel;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;9889328;ROOFTOP
SOTOMAYOR;1720;-273.638.911;-703.099.146;1720;Rafael Sotomayor;Copiapó;Copiapó;Copiapo;Copiapo;III Región;III Región;CL;Chile;10343866;ROOFTOP
AVENIDA SAN RAMON;490;-299.694.116;-713.299.807;490;San Ramón;Coquimbo;Coquimbo;Elqui;Elqui;Región de Coquimbo;Región de Coquimbo;CL;Chile;1267647;RANGE_INTERPOLATED
PASAJE EURIDICE;2319;-335.135.297;-707.897.221;2319;Eurídice;Maipú;Maipú;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;9294866;ROOFTOP
POBLACION;25;-334.417.236;-706.334.151;25;Rancagua;Providencia;Providencia;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10406159;RANGE_INTERPOLATED
RUBEN DARIO;1620;-398.412.645;-732.231.702;1620;Rubén Darío;Valdivia;Valdivia;Valdivia;Valdivia;Región de los Ríos;Región de los Ríos;CL;Chile;10211174;RANGE_INTERPOLATED
PASAJE FRANCISCO DE ROJAS;176;-336.133.482;-705.895.329;176;Francisco de Rojas;Puente Alto;Puente Alto;Cordillera;Cordillera;Región Metropolitana;Región Metropolitana;CL;Chile;10353467;RANGE_INTERPOLATED
RIVEROS;421;-32.508.209;-714.428.771;421;Riveros;Papudo;Papudo;Petorca;Petorca;Región de Valparaíso;Región de Valparaíso;CL;Chile;1314357;RANGE_INTERPOLATED
PASAJE CLARA MARDINES;1489;-236.875.727;-704.070.251;1489;Pasaje Clara Mardones de Mauret;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Región de Antofagasta;Región de Antofagasta;CL;Chile;1320127;RANGE_INTERPOLATED
AVDA L A TIRANA;3441;-202.541.556;-701.261.851;3441;Avenida La Tirana;Iquique;Iquique;Iquique;Iquique;Región de Tarapacá;Región de Tarapacá;CL;Chile;1321980;ROOFTOP
